alpha11,beta11,az_angle,el_angle,simulation_time
6,2,5,100,36.8912048340
6,2,5,105,36.6880798340
6,2,5,110,35.0942993164
6,2,10,90,38.5318450928
6,2,10,95,34.6724090576
6,2,10,100,33.8130187988
6,2,10,105,38.9849853516
6,2,10,110,38.2818679810
6,2,15,90,49.9851837158
6,2,15,95,37.1099395752
6,2,15,100,35.0005416870
6,2,15,105,34.5474319458
6,2,15,110,36.0630569458
6,2,20,90,44.0475006104
6,2,20,95,36.7974166870
6,2,20,100,47.0944442749
6,2,20,105,39.4536972046
6,2,20,110,36.4693145752
6,4,0,90,26.5160064697
6,4,0,95,38.7349243164
6,4,0,100,38.5787124634
6,4,0,105,43.2193603516
6,4,0,110,37.8286743164
6,4,5,90,36.5786361694
6,4,5,95,43.4537200928
6,4,5,100,39.7974319458
6,4,5,105,39.3286743164
6,4,5,110,50.7663192749
6,4,10,90,36.9692764282
6,4,10,95,53.4226074219
6,4,10,100,34.2505111694
6,4,10,105,44.5787200928
6,4,10,110,38.6880569458
6,4,15,90,34.5785903931
6,4,15,95,41.8286819458
6,4,15,100,40.2349243164
6,4,15,105,44.4537124634
6,4,15,110,39.0161285400
6,4,20,90,40.9380340576
6,4,20,95,39.5630187988
6,4,20,100,32.5941619873
6,4,20,105,34.0167541504
6,4,20,110,35.0020294189
6,6,0,90,27.7359771729
6,6,0,95,41.5336608887
6,6,0,100,38.6428680420
6,6,0,105,36.5958023071
6,6,0,110,30.7360916138
6,6,5,90,49.9559173584
6,6,5,95,38.7208862305
6,6,5,100,36.9863815308
6,6,5,105,48.9089279175
6,6,5,110,41.2678527832
6,6,10,90,40.4240417480
6,6,10,95,51.1433105469
6,6,10,100,36.6269149780
6,6,10,105,48.0493774414
6,6,10,110,31.0953445435
6,6,15,90,44.9241409302
6,6,15,95,37.8612976074
6,6,15,100,38.4238204956
6,6,15,105,42.6114654541
6,6,15,110,38.2987518311
6,6,20,90,43.9709167480
6,6,20,95,38.7675094604
6,6,20,100,48.4398040771
6,6,20,105,37.0330505371
6,6,20,110,47.8304290771
6,8,0,90,37.9861526489
6,8,0,95,38.6267776489
6,8,0,100,33.6577911377
6,8,0,105,37.5954818726
6,8,0,110,48.3772048950
6,8,5,90,39.0798873901
6,8,5,95,36.6731414795
6,8,5,100,35.4708862305
6,8,5,105,41.5174255371
6,8,5,110,52.4241409302
6,8,10,90,39.2048110962
6,8,10,95,46.0801162720
6,8,10,100,38.5016021729
6,8,10,105,34.5327148438
6,8,10,110,37.2046813965
6,8,15,90,32.5794906616
6,8,15,95,38.6109466553
6,8,15,100,34.5170288086
6,8,15,105,37.2515563965
6,8,15,110,33.0794754028
6,8,20,90,36.6733322144
6,8,20,95,34.5013504028
6,8,20,100,37.0171127319
6,8,20,105,36.5795974731
6,8,20,110,34.9232635498
8,2,0,90,24.4228134155
8,2,0,95,36.5174026489
8,2,0,100,36.6264038086
8,2,0,105,36.3763961792
8,2,0,110,36.6420059204
8,2,5,90,35.1106872559
8,2,5,95,34.8919601440
8,2,5,100,32.5637512207
8,2,5,105,38.6888961792
8,2,5,110,38.6420135498
8,2,10,90,38.6263809204
8,2,10,95,30.5479812622
8,2,10,100,38.7826004028
8,2,10,105,35.0793533325
